"trial","order","faster","counterbalancing","gender","age","school","condition","id","correct","ageBin"
"Number1",4,"NA",2,"M",10,1,"Simple","58527028",1,"9-13"
"Number2",3,"NA",2,"M",10,1,"Simple","58527028",1,"9-13"
"Number3",2,"NA",2,"M",10,1,"Simple","58527028",1,"9-13"
"Number4",1,"NA",2,"M",10,1,"Simple","58527028",1,"9-13"
"Process1",7,"correct",2,"M",10,1,"Complex","58527028",0,"9-13"
"Process2",6,"incorrect",2,"M",10,1,"Complex","58527028",0,"9-13"
"Number&Stability",5,"NA",2,"M",10,1,"Simple","58527028",1,"9-13"
"Pattern",10,"incorrect",2,"M",10,1,"Complex","58527028",0,"9-13"
"Probability",9,"NA",2,"M",10,1,"Complex","58527028",1,"9-13"
"Stability",8,"NA",2,"M",10,1,"Simple","58527028",1,"9-13"
"Number1",4,"NA",2,"M",7,2,"Simple","57714294",1,"5-8"
"Number2",3,"incorrect",2,"M",7,2,"Simple","57714294",0,"5-8"
"Number3",2,"NA",2,"M",7,2,"Simple","57714294",1,"5-8"
"Number4",1,"incorrect",2,"M",7,2,"Simple","57714294",0,"5-8"
"Process1",7,"incorrect",2,"M",7,2,"Complex","57714294",0,"5-8"
"Process2",6,"incorrect",2,"M",7,2,"Complex","57714294",0,"5-8"
"Number&Stability",5,"NA",2,"M",7,2,"Simple","57714294",1,"5-8"
"Pattern",10,"NA",2,"M",7,2,"Complex","57714294",1,"5-8"
"Probability",9,"NA",2,"M",7,2,"Complex","57714294",1,"5-8"
"Stability",8,"NA",2,"M",7,2,"Simple","57714294",1,"5-8"
"Number1",4,"NA",2,"F",6,1,"Simple","63830115",1,"5-8"
"Number2",3,"NA",2,"F",6,1,"Simple","63830115",1,"5-8"
"Number3",2,"NA",2,"F",6,1,"Simple","63830115",1,"5-8"
"Number4",1,"incorrect",2,"F",6,1,"Simple","63830115",0,"5-8"
"Process1",7,"NA",2,"F",6,1,"Complex","63830115",1,"5-8"
"Process2",6,"correct",2,"F",6,1,"Complex","63830115",0,"5-8"
"Number&Stability",5,"incorrect",2,"F",6,1,"Simple","63830115",0,"5-8"
"Pattern",10,"incorrect",2,"F",6,1,"Complex","63830115",0,"5-8"
"Probability",9,"correct",2,"F",6,1,"Complex","63830115",0,"5-8"
"Stability",8,"NA",2,"F",6,1,"Simple","63830115",1,"5-8"
"Number1",1,"NA",1,"M",10,3,"Simple","16022980",1,"9-13"
"Number2",2,"NA",1,"M",10,3,"Simple","16022980",1,"9-13"
"Number3",3,"NA",1,"M",10,3,"Simple","16022980",1,"9-13"
"Number4",4,"NA",1,"M",10,3,"Simple","16022980",1,"9-13"
"Process1",5,"NA",1,"M",10,3,"Complex","16022980",1,"9-13"
"Process2",6,"incorrect",1,"M",10,3,"Complex","16022980",0,"9-13"
"Number&Stability",7,"NA",1,"M",10,3,"Simple","16022980",1,"9-13"
"Pattern",8,"incorrect",1,"M",10,3,"Complex","16022980",0,"9-13"
"Probability",9,"correct",1,"M",10,3,"Complex","16022980",0,"9-13"
"Stability",10,"NA",1,"M",10,3,"Simple","16022980",1,"9-13"
"Number1",4,"NA",2,"F",8,3,"Simple","16591912",1,"5-8"
"Number2",3,"NA",2,"F",8,3,"Simple","16591912",1,"5-8"
"Number3",2,"incorrect",2,"F",8,3,"Simple","16591912",0,"5-8"
"Number4",1,"NA",2,"F",8,3,"Simple","16591912",1,"5-8"
"Process1",7,"correct",2,"F",8,3,"Complex","16591912",0,"5-8"
"Process2",6,"NA",2,"F",8,3,"Complex","16591912",1,"5-8"
"Number&Stability",5,"NA",2,"F",8,3,"Simple","16591912",1,"5-8"
"Pattern",10,"NA",2,"F",8,3,"Complex","16591912",1,"5-8"
"Probability",9,"correct",2,"F",8,3,"Complex","16591912",0,"5-8"
"Stability",8,"NA",2,"F",8,3,"Simple","16591912",1,"5-8"
"Number1",1,"NA",1,"M",6,1,"Simple","23325536",1,"5-8"
"Number2",2,"incorrect",1,"M",6,1,"Simple","23325536",0,"5-8"
"Number3",3,"NA",1,"M",6,1,"Simple","23325536",1,"5-8"
"Number4",4,"NA",1,"M",6,1,"Simple","23325536",1,"5-8"
"Process1",5,"NA",1,"M",6,1,"Complex","23325536",1,"5-8"
"Process2",6,"incorrect",1,"M",6,1,"Complex","23325536",0,"5-8"
"Number&Stability",7,"incorrect",1,"M",6,1,"Simple","23325536",0,"5-8"
"Pattern",8,"NA",1,"M",6,1,"Complex","23325536",1,"5-8"
"Probability",9,"incorrect",1,"M",6,1,"Complex","23325536",0,"5-8"
"Stability",10,"NA",1,"M",6,1,"Simple","23325536",1,"5-8"
"Number1",4,"NA",2,"F",10,3,"Simple","10877948",1,"9-13"
"Number2",3,"correct",2,"F",10,3,"Simple","10877948",0,"9-13"
"Number3",2,"NA",2,"F",10,3,"Simple","10877948",1,"9-13"
"Number4",1,"correct",2,"F",10,3,"Simple","10877948",0,"9-13"
"Process1",7,"NA",2,"F",10,3,"Complex","10877948",1,"9-13"
"Process2",6,"correct",2,"F",10,3,"Complex","10877948",0,"9-13"
"Number&Stability",5,"NA",2,"F",10,3,"Simple","10877948",1,"9-13"
"Pattern",10,"correct",2,"F",10,3,"Complex","10877948",0,"9-13"
"Probability",9,"NA",2,"F",10,3,"Complex","10877948",1,"9-13"
"Stability",8,"NA",2,"F",10,3,"Simple","10877948",1,"9-13"
"Number1",1,"NA",1,"F",8,4,"Simple","77093311",1,"5-8"
"Number2",2,"correct",1,"F",8,4,"Simple","77093311",0,"5-8"
"Number3",3,"NA",1,"F",8,4,"Simple","77093311",1,"5-8"
"Number4",4,"correct",1,"F",8,4,"Simple","77093311",0,"5-8"
"Process1",5,"NA",1,"F",8,4,"Complex","77093311",1,"5-8"
"Process2",6,"NA",1,"F",8,4,"Complex","77093311",1,"5-8"
"Number&Stability",7,"correct",1,"F",8,4,"Simple","77093311",0,"5-8"
"Pattern",8,"NA",1,"F",8,4,"Complex","77093311",1,"5-8"
"Probability",9,"correct",1,"F",8,4,"Complex","77093311",0,"5-8"
"Stability",10,"NA",1,"F",8,4,"Simple","77093311",1,"5-8"
"Number1",1,"NA",1,"M",7,2,"Simple","36816524",1,"5-8"
"Number2",2,"NA",1,"M",7,2,"Simple","36816524",1,"5-8"
"Number3",3,"NA",1,"M",7,2,"Simple","36816524",1,"5-8"
"Number4",4,"NA",1,"M",7,2,"Simple","36816524",1,"5-8"
"Process1",5,"NA",1,"M",7,2,"Complex","36816524",1,"5-8"
"Process2",6,"NA",1,"M",7,2,"Complex","36816524",1,"5-8"
"Number&Stability",7,"NA",1,"M",7,2,"Simple","36816524",1,"5-8"
"Pattern",8,"NA",1,"M",7,2,"Complex","36816524",1,"5-8"
"Probability",9,"NA",1,"M",7,2,"Complex","36816524",1,"5-8"
"Stability",10,"incorrect",1,"M",7,2,"Simple","36816524",0,"5-8"
"Number1",1,"NA",1,"M",6,1,"Simple","54175110",1,"5-8"
"Number2",2,"NA",1,"M",6,1,"Simple","54175110",1,"5-8"
"Number3",3,"NA",1,"M",6,1,"Simple","54175110",1,"5-8"
"Number4",4,"incorrect",1,"M",6,1,"Simple","54175110",0,"5-8"
"Process1",5,"NA",1,"M",6,1,"Complex","54175110",1,"5-8"
"Process2",6,"incorrect",1,"M",6,1,"Complex","54175110",0,"5-8"
"Number&Stability",7,"NA",1,"M",6,1,"Simple","54175110",1,"5-8"
"Pattern",8,"NA",1,"M",6,1,"Complex","54175110",1,"5-8"
"Probability",9,"NA",1,"M",6,1,"Complex","54175110",1,"5-8"
"Stability",10,"NA",1,"M",6,1,"Simple","54175110",1,"5-8"
"Number1",4,"NA",2,"M",6,1,"Simple","47683671",1,"5-8"
"Number2",3,"NA",2,"M",6,1,"Simple","47683671",1,"5-8"
"Number3",2,"NA",2,"M",6,1,"Simple","47683671",1,"5-8"
"Number4",1,"NA",2,"M",6,1,"Simple","47683671",1,"5-8"
"Process1",7,"incorrect",2,"M",6,1,"Complex","47683671",0,"5-8"
"Process2",6,"correct",2,"M",6,1,"Complex","47683671",0,"5-8"
"Number&Stability",5,"correct",2,"M",6,1,"Simple","47683671",0,"5-8"
"Pattern",10,"NA",2,"M",6,1,"Complex","47683671",1,"5-8"
"Probability",9,"NA",2,"M",6,1,"Complex","47683671",1,"5-8"
"Stability",8,"NA",2,"M",6,1,"Simple","47683671",1,"5-8"
"Number1",4,"NA",2,"F",10,4,"Simple","46098226",1,"9-13"
"Number2",3,"NA",2,"F",10,4,"Simple","46098226",1,"9-13"
"Number3",2,"NA",2,"F",10,4,"Simple","46098226",1,"9-13"
"Number4",1,"NA",2,"F",10,4,"Simple","46098226",1,"9-13"
"Process1",7,"NA",2,"F",10,4,"Complex","46098226",1,"9-13"
"Process2",6,"NA",2,"F",10,4,"Complex","46098226",1,"9-13"
"Number&Stability",5,"NA",2,"F",10,4,"Simple","46098226",1,"9-13"
"Pattern",10,"NA",2,"F",10,4,"Complex","46098226",1,"9-13"
"Probability",9,"correct",2,"F",10,4,"Complex","46098226",0,"9-13"
"Stability",8,"incorrect",2,"F",10,4,"Simple","46098226",0,"9-13"
"Number1",1,"NA",1,"M",6,1,"Simple","16022193",1,"5-8"
"Number2",2,"NA",1,"M",6,1,"Simple","16022193",1,"5-8"
"Number3",3,"NA",1,"M",6,1,"Simple","16022193",1,"5-8"
"Number4",4,"correct",1,"M",6,1,"Simple","16022193",0,"5-8"
"Process1",5,"correct",1,"M",6,1,"Complex","16022193",0,"5-8"
"Process2",6,"correct",1,"M",6,1,"Complex","16022193",0,"5-8"
"Number&Stability",7,"NA",1,"M",6,1,"Simple","16022193",1,"5-8"
"Pattern",8,"NA",1,"M",6,1,"Complex","16022193",1,"5-8"
"Probability",9,"NA",1,"M",6,1,"Complex","16022193",1,"5-8"
"Stability",10,"NA",1,"M",6,1,"Simple","16022193",1,"5-8"
"Number1",1,"incorrect",1,"F",9,2,"Simple","56393093",0,"9-13"
"Number2",2,"NA",1,"F",9,2,"Simple","56393093",1,"9-13"
"Number3",3,"NA",1,"F",9,2,"Simple","56393093",1,"9-13"
"Number4",4,"correct",1,"F",9,2,"Simple","56393093",0,"9-13"
"Process1",5,"NA",1,"F",9,2,"Complex","56393093",1,"9-13"
"Process2",6,"NA",1,"F",9,2,"Complex","56393093",1,"9-13"
"Number&Stability",7,"NA",1,"F",9,2,"Simple","56393093",1,"9-13"
"Pattern",8,"correct",1,"F",9,2,"Complex","56393093",0,"9-13"
"Probability",9,"correct",1,"F",9,2,"Complex","56393093",0,"9-13"
"Stability",10,"incorrect",1,"F",9,2,"Simple","56393093",0,"9-13"
"Number1",1,"NA",1,"M",7,1,"Simple","55519010",1,"5-8"
"Number2",2,"NA",1,"M",7,1,"Simple","55519010",0,"5-8"
"Number3",3,"NA",1,"M",7,1,"Simple","55519010",0,"5-8"
"Number4",4,"NA",1,"M",7,1,"Simple","55519010",0,"5-8"
"Process1",5,"NA",1,"M",7,1,"Complex","55519010",0,"5-8"
"Process2",6,"NA",1,"M",7,1,"Complex","55519010",1,"5-8"
"Number&Stability",7,"NA",1,"M",7,1,"Simple","55519010",1,"5-8"
"Pattern",8,"NA",1,"M",7,1,"Complex","55519010",1,"5-8"
"Probability",9,"NA",1,"M",7,1,"Complex","55519010",1,"5-8"
"Stability",10,"NA",1,"M",7,1,"Simple","55519010",1,"5-8"
"Number1",4,"NA",2,"M",10,3,"Simple","30836503",1,"9-13"
"Number2",3,"correct",2,"M",10,3,"Simple","30836503",0,"9-13"
"Number3",2,"correct",2,"M",10,3,"Simple","30836503",0,"9-13"
"Number4",1,"NA",2,"M",10,3,"Simple","30836503",1,"9-13"
"Process1",7,"NA",2,"M",10,3,"Complex","30836503",1,"9-13"
"Process2",6,"NA",2,"M",10,3,"Complex","30836503",1,"9-13"
"Number&Stability",5,"NA",2,"M",10,3,"Simple","30836503",1,"9-13"
"Pattern",10,"NA",2,"M",10,3,"Complex","30836503",1,"9-13"
"Probability",9,"NA",2,"M",10,3,"Complex","30836503",1,"9-13"
"Stability",8,"incorrect",2,"M",10,3,"Simple","30836503",0,"9-13"
"Number1",4,"NA",2,"M",10,4,"Simple","97863495",1,"9-13"
"Number2",3,"NA",2,"M",10,4,"Simple","97863495",1,"9-13"
"Number3",2,"NA",2,"M",10,4,"Simple","97863495",1,"9-13"
"Number4",1,"NA",2,"M",10,4,"Simple","97863495",1,"9-13"
"Process1",7,"NA",2,"M",10,4,"Complex","97863495",1,"9-13"
"Process2",6,"correct",2,"M",10,4,"Complex","97863495",0,"9-13"
"Number&Stability",5,"NA",2,"M",10,4,"Simple","97863495",1,"9-13"
"Pattern",10,"NA",2,"M",10,4,"Complex","97863495",1,"9-13"
"Probability",9,"NA",2,"M",10,4,"Complex","97863495",1,"9-13"
"Stability",8,"NA",2,"M",10,4,"Simple","97863495",1,"9-13"
"Number1",4,"NA",2,"M",6,2,"Simple","28677436",1,"5-8"
"Number2",3,"NA",2,"M",6,2,"Simple","28677436",1,"5-8"
"Number3",2,"NA",2,"M",6,2,"Simple","28677436",1,"5-8"
"Number4",1,"NA",2,"M",6,2,"Simple","28677436",1,"5-8"
"Process1",7,"NA",2,"M",6,2,"Complex","28677436",1,"5-8"
"Process2",6,"NA",2,"M",6,2,"Complex","28677436",1,"5-8"
"Number&Stability",5,"incorrect",2,"M",6,2,"Simple","28677436",0,"5-8"
"Pattern",10,"incorrect",2,"M",6,2,"Complex","28677436",0,"5-8"
"Probability",9,"NA",2,"M",6,2,"Complex","28677436",1,"5-8"
"Stability",8,"incorrect",2,"M",6,2,"Simple","28677436",0,"5-8"
"Number1",4,"NA",2,"M",8,2,"Simple","91178338",1,"5-8"
"Number2",3,"NA",2,"M",8,2,"Simple","91178338",1,"5-8"
"Number3",2,"incorrect",2,"M",8,2,"Simple","91178338",0,"5-8"
"Number4",1,"incorrect",2,"M",8,2,"Simple","91178338",0,"5-8"
"Process1",7,"NA",2,"M",8,2,"Complex","91178338",1,"5-8"
"Process2",6,"NA",2,"M",8,2,"Complex","91178338",1,"5-8"
"Number&Stability",5,"NA",2,"M",8,2,"Simple","91178338",1,"5-8"
"Pattern",10,"NA",2,"M",8,2,"Complex","91178338",1,"5-8"
"Probability",9,"NA",2,"M",8,2,"Complex","91178338",1,"5-8"
"Stability",8,"NA",2,"M",8,2,"Simple","91178338",1,"5-8"
"Number1",1,"NA",1,"M",11,6,"Simple","21182259",1,"9-13"
"Number2",2,"NA",1,"M",11,6,"Simple","21182259",1,"9-13"
"Number3",3,"NA",1,"M",11,6,"Simple","21182259",1,"9-13"
"Number4",4,"NA",1,"M",11,6,"Simple","21182259",1,"9-13"
"Process1",5,"NA",1,"M",11,6,"Complex","21182259",1,"9-13"
"Process2",6,"NA",1,"M",11,6,"Complex","21182259",1,"9-13"
"Number&Stability",7,"NA",1,"M",11,6,"Simple","21182259",1,"9-13"
"Pattern",8,"NA",1,"M",11,6,"Complex","21182259",1,"9-13"
"Probability",9,"correct",1,"M",11,6,"Complex","21182259",0,"9-13"
"Stability",10,"NA",1,"M",11,6,"Simple","21182259",1,"9-13"
"Number1",4,"incorrect",2,"M",11,4,"Simple","73666781",0,"9-13"
"Number2",3,"incorrect",2,"M",11,4,"Simple","73666781",0,"9-13"
"Number3",2,"incorrect",2,"M",11,4,"Simple","73666781",0,"9-13"
"Number4",1,"NA",2,"M",11,4,"Simple","73666781",1,"9-13"
"Process1",7,"NA",2,"M",11,4,"Complex","73666781",1,"9-13"
"Process2",6,"NA",2,"M",11,4,"Complex","73666781",1,"9-13"
"Number&Stability",5,"incorrect",2,"M",11,4,"Simple","73666781",0,"9-13"
"Pattern",10,"incorrect",2,"M",11,4,"Complex","73666781",0,"9-13"
"Probability",9,"NA",2,"M",11,4,"Complex","73666781",1,"9-13"
"Stability",8,"NA",2,"M",11,4,"Simple","73666781",1,"9-13"
"Number1",4,"NA",2,"F",5,0,"Simple","71260370",1,"5-8"
"Number2",3,"correct",2,"F",5,0,"Simple","71260370",0,"5-8"
"Number3",2,"NA",2,"F",5,0,"Simple","71260370",1,"5-8"
"Number4",1,"correct",2,"F",5,0,"Simple","71260370",0,"5-8"
"Process1",7,"NA",2,"F",5,0,"Complex","71260370",1,"5-8"
"Process2",6,"correct",2,"F",5,0,"Complex","71260370",0,"5-8"
"Number&Stability",5,"NA",2,"F",5,0,"Simple","71260370",1,"5-8"
"Pattern",10,"correct",2,"F",5,0,"Complex","71260370",0,"5-8"
"Probability",9,"NA",2,"F",5,0,"Complex","71260370",1,"5-8"
"Stability",8,"NA",2,"F",5,0,"Simple","71260370",1,"5-8"
"Number1",1,"correct",1,"F",9,4,"Simple","56515283",0,"9-13"
"Number2",2,"NA",1,"F",9,4,"Simple","56515283",1,"9-13"
"Number3",3,"correct",1,"F",9,4,"Simple","56515283",0,"9-13"
"Number4",4,"NA",1,"F",9,4,"Simple","56515283",1,"9-13"
"Process1",5,"NA",1,"F",9,4,"Complex","56515283",1,"9-13"
"Process2",6,"NA",1,"F",9,4,"Complex","56515283",1,"9-13"
"Number&Stability",7,"NA",1,"F",9,4,"Simple","56515283",1,"9-13"
"Pattern",8,"correct",1,"F",9,4,"Complex","56515283",0,"9-13"
"Probability",9,"NA",1,"F",9,4,"Complex","56515283",1,"9-13"
"Stability",10,"correct",1,"F",9,4,"Simple","56515283",0,"9-13"
"Number1",1,"incorrect",1,"F",9,2,"Simple","80549803",0,"9-13"
"Number2",2,"NA",1,"F",9,2,"Simple","80549803",1,"9-13"
"Number3",3,"NA",1,"F",9,2,"Simple","80549803",1,"9-13"
"Number4",4,"NA",1,"F",9,2,"Simple","80549803",1,"9-13"
"Process1",5,"NA",1,"F",9,2,"Complex","80549803",1,"9-13"
"Process2",6,"NA",1,"F",9,2,"Complex","80549803",1,"9-13"
"Number&Stability",7,"NA",1,"F",9,2,"Simple","80549803",1,"9-13"
"Pattern",8,"NA",1,"F",9,2,"Complex","80549803",1,"9-13"
"Probability",9,"NA",1,"F",9,2,"Complex","80549803",1,"9-13"
"Stability",10,"incorrect",1,"F",9,2,"Simple","80549803",0,"9-13"
"Number1",4,"incorrect",2,"F",6,1,"Simple","56832347",0,"5-8"
"Number2",3,"correct",2,"F",6,1,"Simple","56832347",0,"5-8"
"Number3",2,"NA",2,"F",6,1,"Simple","56832347",1,"5-8"
"Number4",1,"correct",2,"F",6,1,"Simple","56832347",0,"5-8"
"Process1",7,"incorrect",2,"F",6,1,"Complex","56832347",0,"5-8"
"Process2",6,"incorrect",2,"F",6,1,"Complex","56832347",0,"5-8"
"Number&Stability",5,"incorrect",2,"F",6,1,"Simple","56832347",0,"5-8"
"Pattern",10,"NA",2,"F",6,1,"Complex","56832347",1,"5-8"
"Probability",9,"NA",2,"F",6,1,"Complex","56832347",1,"5-8"
"Stability",8,"NA",2,"F",6,1,"Simple","56832347",1,"5-8"
"Number1",1,"NA",1,"F",8,2,"Simple","65811328",1,"5-8"
"Number2",2,"NA",1,"F",8,2,"Simple","65811328",1,"5-8"
"Number3",3,"NA",1,"F",8,2,"Simple","65811328",1,"5-8"
"Number4",4,"NA",1,"F",8,2,"Simple","65811328",1,"5-8"
"Process1",5,"NA",1,"F",8,2,"Complex","65811328",0,"5-8"
"Process2",6,"NA",1,"F",8,2,"Complex","65811328",1,"5-8"
"Number&Stability",7,"NA",1,"F",8,2,"Simple","65811328",1,"5-8"
"Pattern",8,"incorrect",1,"F",8,2,"Complex","65811328",0,"5-8"
"Probability",9,"NA",1,"F",8,2,"Complex","65811328",1,"5-8"
"Stability",10,"incorrect",1,"F",8,2,"Simple","65811328",0,"5-8"
"Number1",4,"NA",2,"F",10,3,"Simple","46553195",1,"9-13"
"Number2",3,"incorrect",2,"F",10,3,"Simple","46553195",0,"9-13"
"Number3",2,"NA",2,"F",10,3,"Simple","46553195",1,"9-13"
"Number4",1,"incorrect",2,"F",10,3,"Simple","46553195",0,"9-13"
"Process1",7,"NA",2,"F",10,3,"Complex","46553195",1,"9-13"
"Process2",6,"NA",2,"F",10,3,"Complex","46553195",1,"9-13"
"Number&Stability",5,"NA",2,"F",10,3,"Simple","46553195",1,"9-13"
"Pattern",10,"incorrect",2,"F",10,3,"Complex","46553195",0,"9-13"
"Probability",9,"correct",2,"F",10,3,"Complex","46553195",0,"9-13"
"Stability",8,"NA",2,"F",10,3,"Simple","46553195",1,"9-13"
"Number1",1,"incorrect",1,"M",6,1,"Simple","67053157",0,"5-8"
"Number2",2,"incorrect",1,"M",6,1,"Simple","67053157",0,"5-8"
"Number3",3,"NA",1,"M",6,1,"Simple","67053157",1,"5-8"
"Number4",4,"NA",1,"M",6,1,"Simple","67053157",1,"5-8"
"Process1",5,"incorrect",1,"M",6,1,"Complex","67053157",0,"5-8"
"Process2",6,"NA",1,"M",6,1,"Complex","67053157",1,"5-8"
"Number&Stability",7,"incorrect",1,"M",6,1,"Simple","67053157",0,"5-8"
"Pattern",8,"NA",1,"M",6,1,"Complex","67053157",1,"5-8"
"Probability",9,"incorrect",1,"M",6,1,"Complex","67053157",0,"5-8"
"Stability",10,"correct",1,"M",6,1,"Simple","67053157",0,"5-8"
"Number1",4,"incorrect",2,"F",13,6,"Simple","75524555",0,"9-13"
"Number2",3,"NA",2,"F",13,6,"Simple","75524555",1,"9-13"
"Number3",2,"incorrect",2,"F",13,6,"Simple","75524555",0,"9-13"
"Number4",1,"incorrect",2,"F",13,6,"Simple","75524555",0,"9-13"
"Process1",7,"incorrect",2,"F",13,6,"Complex","75524555",0,"9-13"
"Process2",6,"NA",2,"F",13,6,"Complex","75524555",1,"9-13"
"Number&Stability",5,"NA",2,"F",13,6,"Simple","75524555",1,"9-13"
"Pattern",10,"NA",2,"F",13,6,"Complex","75524555",1,"9-13"
"Probability",9,"NA",2,"F",13,6,"Complex","75524555",1,"9-13"
"Stability",8,"incorrect",2,"F",13,6,"Simple","75524555",0,"9-13"
"Number1",1,"incorrect",1,"F",10,3,"Simple","44060009",0,"9-13"
"Number2",2,"NA",1,"F",10,3,"Simple","44060009",1,"9-13"
"Number3",3,"correct",1,"F",10,3,"Simple","44060009",0,"9-13"
"Number4",4,"NA",1,"F",10,3,"Simple","44060009",1,"9-13"
"Process1",5,"correct",1,"F",10,3,"Complex","44060009",0,"9-13"
"Process2",6,"NA",1,"F",10,3,"Complex","44060009",1,"9-13"
"Number&Stability",7,"NA",1,"F",10,3,"Simple","44060009",1,"9-13"
"Pattern",8,"NA",1,"F",10,3,"Complex","44060009",1,"9-13"
"Probability",9,"incorrect",1,"F",10,3,"Complex","44060009",0,"9-13"
"Stability",10,"correct",1,"F",10,3,"Simple","44060009",0,"9-13"
"Number1",4,"incorrect",2,"M",10,3,"Simple","13432614",0,"9-13"
"Number2",3,"incorrect",2,"M",10,3,"Simple","13432614",0,"9-13"
"Number3",2,"incorrect",2,"M",10,3,"Simple","13432614",0,"9-13"
"Number4",1,"incorrect",2,"M",10,3,"Simple","13432614",0,"9-13"
"Process1",7,"NA",2,"M",10,3,"Complex","13432614",1,"9-13"
"Process2",6,"incorrect",2,"M",10,3,"Complex","13432614",0,"9-13"
"Number&Stability",5,"incorrect",2,"M",10,3,"Simple","13432614",0,"9-13"
"Pattern",10,"incorrect",2,"M",10,3,"Complex","13432614",0,"9-13"
"Probability",9,"incorrect",2,"M",10,3,"Complex","13432614",0,"9-13"
"Stability",8,"incorrect",2,"M",10,3,"Simple","13432614",0,"9-13"
"Number1",4,"NA",2,"F",8,3,"Simple","78481394",1,"5-8"
"Number2",3,"NA",2,"F",8,3,"Simple","78481394",1,"5-8"
"Number3",2,"NA",2,"F",8,3,"Simple","78481394",1,"5-8"
"Number4",1,"incorrect",2,"F",8,3,"Simple","78481394",0,"5-8"
"Process1",7,"NA",2,"F",8,3,"Complex","78481394",1,"5-8"
"Process2",6,"NA",2,"F",8,3,"Complex","78481394",1,"5-8"
"Number&Stability",5,"NA",2,"F",8,3,"Simple","78481394",1,"5-8"
"Pattern",10,"NA",2,"F",8,3,"Complex","78481394",1,"5-8"
"Probability",9,"NA",2,"F",8,3,"Complex","78481394",1,"5-8"
"Stability",8,"NA",2,"F",8,3,"Simple","78481394",1,"5-8"
"Number1",1,"NA",1,"M",11,4,"Simple","48700509",1,"9-13"
"Number2",2,"NA",1,"M",11,4,"Simple","48700509",1,"9-13"
"Number3",3,"NA",1,"M",11,4,"Simple","48700509",1,"9-13"
"Number4",4,"NA",1,"M",11,4,"Simple","48700509",1,"9-13"
"Process1",5,"correct",1,"M",11,4,"Complex","48700509",0,"9-13"
"Process2",6,"incorrect",1,"M",11,4,"Complex","48700509",0,"9-13"
"Number&Stability",7,"NA",1,"M",11,4,"Simple","48700509",1,"9-13"
"Pattern",8,"NA",1,"M",11,4,"Complex","48700509",1,"9-13"
"Probability",9,"incorrect",1,"M",11,4,"Complex","48700509",0,"9-13"
"Stability",10,"NA",1,"M",11,4,"Simple","48700509",1,"9-13"
"Number1",4,"NA",2,"M",9,3,"Simple","24900416",1,"9-13"
"Number2",3,"NA",2,"M",9,3,"Simple","24900416",1,"9-13"
"Number3",2,"NA",2,"M",9,3,"Simple","24900416",1,"9-13"
"Number4",1,"NA",2,"M",9,3,"Simple","24900416",1,"9-13"
"Process1",7,"correct",2,"M",9,3,"Complex","24900416",0,"9-13"
"Process2",6,"NA",2,"M",9,3,"Complex","24900416",1,"9-13"
"Number&Stability",5,"NA",2,"M",9,3,"Simple","24900416",1,"9-13"
"Pattern",10,"NA",2,"M",9,3,"Complex","24900416",1,"9-13"
"Probability",9,"correct",2,"M",9,3,"Complex","24900416",0,"9-13"
"Stability",8,"NA",2,"M",9,3,"Simple","24900416",1,"9-13"
"Number1",1,"NA",1,"M",10,4,"Simple","37802870",1,"9-13"
"Number2",2,"NA",1,"M",10,4,"Simple","37802870",1,"9-13"
"Number3",3,"NA",1,"M",10,4,"Simple","37802870",1,"9-13"
"Number4",4,"NA",1,"M",10,4,"Simple","37802870",1,"9-13"
"Process1",5,"correct",1,"M",10,4,"Complex","37802870",0,"9-13"
"Process2",6,"NA",1,"M",10,4,"Complex","37802870",1,"9-13"
"Number&Stability",7,"NA",1,"M",10,4,"Simple","37802870",1,"9-13"
"Pattern",8,"NA",1,"M",10,4,"Complex","37802870",1,"9-13"
"Probability",9,"correct",1,"M",10,4,"Complex","37802870",0,"9-13"
