id,group,condition,InsR,Number_TriCir,Number_TriCir_Exp,Number_Cross,Number_Cross_Exp,Number_Vert,Number_Vert_Exp,Number_Horz,Number_Horz_Exp,Init_Horz,Init_Horz_Exp,Init_Vert,Init_Vert_Exp,TwoBlocks_TenBlocks,TwoBlocks_TenBlocks_Exp,Init_Distance,Init_Distance_Exp,Fin_Distance,Fin_Distance_Exp,Init_Sorted,Init_Sorted_Exp,Pattern_NoPattern,Pattern_NoPattern_Exp,Sampling_Check1,Sampling_Check2,Sampling,Sampling_Exp,Box_Castle,Box_Castle_Exp,TwoPile_Castle,TwoPile_Castle,Vert_Horz,Vert_Horz_Exp,Age_Check1,Age_Check2,Adult_Child,Adult_Child_Exp,Sling_Check1,Sling_Check2,Sling_TwoHands,Sling_TwoHands_Exp,OneAgent_TwoAgent,OneAgent_TwoAgent,Strategy,gender,age,include,include_why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OneAgent_TwoAgent,OneAgent_TwoAgent,OneAgent_TwoAgent,T17Exp,Strategy,D1,D2,D3,D4,D5,D5_3_TEXT,age,D7,D8,D9,random
1,adult,hard,0,1,Paige had to manipulate more blocks.,1,Sharon used more blocks.,0,It looks like it has two dimensions. Sally has only one.,1,Sarah had to manipulate more blocks.,1,Sophie had to move more blocks.,1,Ruth had to manipulate more blocks.,0,Gravity makes Kate's harder. It's likelier to fall due to the gravity.,1,Danielle's blocks were further away.,1,Kara had to move her blocks out from in front of her.,1,Emma had to separate more blocks.,1,"She had to alternate blocks, Grace didn't.",1,1,1,Claire had to find red blocks which are rarer for her than for Jen.,1,This one is obvious.,1,She's working against gravity..,1,Gravity,1,1,1,He's four.,1,1,1,He's broken.,0,There's no way to tell.,"I considered gravity, number of blocks, how much blocks had to be moved, and in later rounds any limitations of the test subjects. I went in that order.",0,30,0,WARMUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Jordan and Sarah,Jordan,0,There's no way to tell.,"I considered gravity, number of blocks, how much blocks had to be moved, and in later rounds any limitations of the test subjects. I went in that order.",Yes,No,1.75,No,Male,,30,Bachelor's degree,English,No,23221
2,adult,hard,1,1,Paige had to use more of the small blocks.,1,Sharon used more of the small blocks.,1,Sally had to put down more of the small blocks.,1,Sarah used more small parts.,1,Sophie had to put more blocks down.,1,Ruth had less of the structure pre-built.,1,Beth had to put more small parts together.,1,Danielle had to move the blocks further.,1,Kara moved the blocks further.,1,Emma's blocks were mixed together.,1,Kelly used a color pattern.,1,1,1,It was harder for her to find the red blocks.,1,Sam made something that needs precision and planning.,1,Lisa had to stack things up and balance them.,1,Tessa had to make sure the blocks did not fall down.,1,1,1,John is smaller and younger.,1,1,1,Marcus had the sling on so he could not move his arm as well.,1,Claire had to do all the work alone.,I thought about how I would feel if I was in those people's place.,1,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire had to do all the work alone.,I thought about how I would feel if I was in those people's place.,Yes,Nope!,1,Yes,Female,,29,"Some college, no degree",english,It was interesting and I enjoyed doing it.  I hope you have good luck with your research!,65755
3,adult,hard,1,1,more pieces involved,1,more pieces,1,more pieces,1,more pieces. looks like 3x the work,1,more pieces to  complete,1,quinn had a tower completed before starting,1,more pieces,1,had to move the pieces further,1,not ergonomic to build to the side,1,rose already had the colors split up,1,had to create a pattern,1,1,1,had to sort through more blocks to find 6 red,1,tom just had to pick up pieces and put them away,1,had to stack and make a pattern,1,liz could have slid the pieces into place.  Tessa had to lift,1,1,1,"shorter arms, more motion involved in creating",1,1,1,had make it with one arm,1,2 people got to do the other towers,I answered why i thought it would be harder.  What would be harder ergonomically and involve more thinking.,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,2 people got to do the other towers,I answered why i thought it would be harder.  What would be harder ergonomically and involve more thinking.,Yes,no,Yes,Yes,Male,,32,Bachelor's degree,English,,30116
4,adult,hard,0,1,she had more pieces to move.,1,she had to move more pieces into position.,1,she made three rows instead of one.,1,she had many more pieces to move.,1,she had to line up more blocks.,1,she had to move more pieces into position.,1,she had to use more individual pieces.,1,the blocks were off to the side and had to be moved in front of her.,1,she made the stack off to the side instead of in front of her.,1,emma had to sort the blocks.,1,she had to alternate colors of blocks.,1,1,1,claire had to fish out the red blocks from among all the blue blocks.,1,sam made something and Tom just dumped the blocks into the container.,1,lisa stacked the blocks and made a design.,1,she had to make sure the blocks stayed balanced.,1,1,0,she doesn't do this as often as child who plays,1,1,1,marcus had to work with one hand.,1,she had to do double the work of the others.,I imagined how I would think of doing this with the blocks and which I thought would be more difficult or more work.,1,64,0,WARMUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,she had to do double the work of the others.,I imagined how I would think of doing this with the blocks and which I thought would be more difficult or more work.,Yes,no,2,No,Female,,64,Bachelor's degree,English,A progress bar would have been good. This seemed to go on a long time.,99474
5,adult,hard,1,1,"More blocks, more involved design.",1,"More blocks, more movement.",1,3 towers > 1 tower,1,More movement of blocks,1,Had to move more blocks.,1,More stacking,1,More movement.,0,She had to move the blocks out of the way before stacking them.,0,Had to move blocks out of the way before stacking.,1,Had to sort.,1,Stacking and sorting > stacking,1,1,1,She had to search longer for the red blocks.,1,moving and stacking> moving,1,Stacking and sorting > sorting,1,Vertical stacking > horizontal stacking,1,1,1,"It's hard to imagine a grown woman thinking that's a difficult task, but I can imagine a child saying that.",1,1,1,"One handed stacking is potentially more difficult, would take longer.",1,"While it's unlikely either thinks it was hard, it makes more sense that the person who had to build two pyramids would think it was difficult than the group with two people with one pyramid each.","More movement, more time, more handicaps means it's ""harder"" in terms of work.",0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,"While it's unlikely either thinks it was hard, it makes more sense that the person who had to build two pyramids would think it was difficult than the group with two people with one pyramid each.","More movement, more time, more handicaps means it's ""harder"" in terms of work.",Yes,No.,That's an excellent question. Average yearly per capita income in Africa is something like $800. I don't think fair is the right word. Is $1.5 adequate? Sure.,Yes,Male,,23,Bachelor's degree,"English, Spanish",I don't quite understand the objective of this experiment. Perhaps I'll find out on the next page.,46761
6,adult,hard,0,1,Paige had to decide what to do with more blocks.,1,sharon had more blocks to move.,1,Sally had to make more towers.,1,Sarah designed a triangle with more blocks as opposed to a strait line.,1,Sophie had to move more blocks.,1,Ruth started at the bottom,1,Beth stacked more blocks.,1,She had to move the blocks and build the tower.,1,kara built to her side.,1,emma had to sort first.,1,Kelly made a pattern.,1,1,1,Claire had fewer blues so she had to dig more.,1,Sam actually built something,1,Lisa built a tower while carol only sorted.,1,her blocks are stacked high.,1,1,1,John has less experience and practice.,1,1,1,He could only use one arm.,1,She had to complete the task alone.,"I looked for the person who did the most work, even if it was just sorting the blocks.",1,50,0,WARMUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,She had to complete the task alone.,"I looked for the person who did the most work, even if it was just sorting the blocks.",Yes,no,yes,Yes,Female,,50,Bachelor's degree,English,no,27241
7,adult,hard,1,1,She had more blocks and made a more complex shape,1,Sharon had more blocks and made a more complex shape.,1,Sally had more blocks and more stacks.,1,Sarah had more blocks and made a more complex shape.,1,Sophie had to move more blocks.,1,Ruth had more blocks to stack.,1,Beth had to balance more blocks than Kate.,1,Danielle had to look and reach.,1,Kara assembled her blocks to the side.,1,Emma's blocks were not sorted by color first.,1,kelly stacked the blocks in alternating colors.,1,1,1,Claire had fewer blocks to select from in the jumble in the jar.,1,Sam made a complex shape and Tom just put the blocks in the jar.,1,Stacking blocks is harder than separating them by color.,1,Balancing blocks is more difficult.,1,1,1,John is very young and may have a harder time assembling blocks than kara.,1,1,1,Eric can stack with one hand and steady with another but Marcus cannot.,1,Claire had twice the work to do.,I tried to imagine myself in each position.,0,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire had twice the work to do.,I tried to imagine myself in each position.,Yes,no,2.5,Yes,Male,,59,"Some college, no degree",English,none,97931
8,adult,hard,1,1,"Just, more blocks, and arranging them in a perfect circle is much harder than 3 blocks arranged in a triangle or whatever. ",1,"I would actually say neither is particularly harder, but Sharon's is just barely since she used more blocks and thus had to do more actions to complete hers. ",1,It is harder to stack three identical stacks and have them all stay up than just one. ,1,"It's three identical rows, using more blocks. harder than one row. ",1,Sophie had more left to do than Jessica; Jessica's was almost completely done for her. ,0,"Quinn had fewer blocks, but different sizes of blocks; thus it would have been harder to make each tower even.",1,Beth's depends on several smaller blocks each staying on top of the other; hers is much harder as it would be easier for any one of the blocks to fall and the structure to fall as well. ,1,I suppose Danielle's because she had to reach more? If there was a 3rd option I'd say that neither was harder. ,1,"I suppose if I have to pick one, Kara. Moved the blocks to her side instead of right in front of her. ",1,"Emma's blocks were not pre-sorted by color, so she had to sort and then place them. ",1,Kelly had to do two different functions - sort by color as well as stack. ,1,1,1,It was harder to find red blocks out of all the blue. She had to search harder. ,1,Sam stacked them into a pyramid while Tom just dumped them into a container. ,1,She sorted and then stacked the blocks. Carol just sorted the blocks. ,1,It is harder to stack objects in a tower  than to place them side by side. ,1,1,1,His manual dexterity isn't going to be as good as an adult's.,1,1,1,Marcus could only use one hand. ,1,Because she was working by herself. ,"Mostly how many actions were needed to complete them, the levels of difficulty in stacking versus placing, how the blocks were arranged/given in the first place, the people involved's physical abilities, etc. ",1,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Because she was working by herself. ,"Mostly how many actions were needed to complete them, the levels of difficulty in stacking versus placing, how the blocks were arranged/given in the first place, the people involved's physical abilities, etc. ",Yes,No. ,2,Yes,Female,,40,Associate's degree,English,,55424
9,adult,hard,1,1,It took more skill to accurately lay out blocks in a circle.,1,There are more shapes available with more blocks and she had to decide on one.,1,Sally had to balance 3 columns instead of 1.,1,"Although she had more blocks to work with, the shape she made is more complex.",1,Jessica already had most of this made for her to begin with.,1,Quinn already had 1 column made for her to begin with.,1,Kate already had blocks lined up therefore already had the idea in front of her.,0,Jane had a similar shape laid in front of her to begin with.,1,Kara was more creative to build the same shape off to the side.,1,Emma had to first sort colors before making the shape.,1,Kelly made a pattern and a shape while Grace made a shape.,1,1,1,With fewer red blocks and more blue it is more difficult to sort through to find red.,1,Building a triangle took much more thought than simply putting them in the container.,1,Carol simply organized while Lisa integrated 2 colors into a shape.,1,"Tessa made the same shape as Liz, but vertically having to work with gravity.",1,1,1,John is younger and knows less about shapes than Kara.,1,1,1,Marcus had one arm to use to stack blocks.,0,Jordan and Sarah had to first agree on a shape then work together to make them identical.,I supposed I would picture myself making the shapes and asked what would I do.,0,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Jordan and Sarah,Jordan,0,Jordan and Sarah had to first agree on a shape then work together to make them identical.,I supposed I would picture myself making the shapes and asked what would I do.,Yes,No,Yes,Yes,Male,,41,Bachelor's degree,English,I would have liked more interesting situations.,37841
10,adult,hard,1,1,Her design is much more intricate and has many more parts.,1,Hers took longer because it has more parts,1,It took longer and has 3 times as many,1,The other is just a straight line with few parts.,1,The other one only had to add two blocks to the line.,1,She had to stack many more blocks than the other.,1,Hers was more parts to balance on top of each other.,1,She had to get them they weren't just sitting in front of her.  But the structures look the same.,1,She had to do hers off to the side rather than right in front of her.,1,She had to first sort by color.,1,She had to pay attention to the colors and the structure and not just the structure.,1,1,1,It was much more difficult for her to find the red blocks than the other.,1,He actually built something.,1,"She had to put more thought into the layers, rather than just separating the colors.",1,Her blocks have to balance.,1,1,1,He does not have as much experience.,1,1,1,He only had one hand to work with.,1,She had to build two things by herself.,"If it took more effort or more thought, then I think it was harder.",1,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,She had to build two things by herself.,"If it took more effort or more thought, then I think it was harder.",Yes,no problems,2,No,Female,,52,Bachelor's degree,English,This was fast if you type fast. Which I do not.,61522
11,adult,hard,1,1,more blocks  more complex shape,1,more blocks ,1,more blocks,1,more complex shape more blocks,1,more blocks were already assembled for jessica ,1,less blocker were assembled for quinn,1,more blocks,1,not sure they are farther away,1,kara had to work off to the side,1,emma blocks were not sorted,1,kelly had to place the block in order because of the color pattern ,0,1,1,claire  had to spend more time picking the 6 block out ,1,sam had to assemble his blocks  tom just threw his in the container  ,1,she had to do more separating and  create the shape,1,she had to stack her on top of each other,1,1,1,probaly because he has never done a task like this before,1,1,1,because of his sore arm ,1,because only one of her,just what i thought would be harder,0,35,0,SAMPLING_CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,because only one of her,just what i thought would be harder,Yes,,1,Yes,Male,,35,"Some college, no degree",english,,52236
12,adult,hard,1,1,more complicated shape,1,has more blocks,1,needed more blocks,1,more complicated shape,1,needed more blocks to complete it,1,needed more blocks to complete it,1,has more blocks,1,needed to move blocks,1,needed to move blocks,1,required more work,1,required more work,1,1,1,required more time and energy to do,1,required actual building,1,required organizing and building,1,required more work to build,1,1,1,probably less focused,1,1,1,he has decreased dexterity,1,had twice as much work to do,"i thought about how much concentration, time, and energy needed to build the figures",0,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,had twice as much work to do,"i thought about how much concentration, time, and energy needed to build the figures",Yes,no,2,No,Male,,38,Master's degree,english,no,20892
13,adult,hard,1,1,There are more blocks to move around,1,Ther are more pieces to line up straight and even ,1,Sally made 3 times what anne made,1,There are more pieces to align,1,Jessica's was already started,1,Quinn's was already started,1,"There are more pieces to move around, more mistakes could be made",0,They look the same to me,0,They look the same,0,Emma's was already closer to that set up when she started,1,"kelly sorted hers by color, too ",1,1,1,It was harder because she had fewer red to choose from ,1,All Tom did is put stuff in a jar,1,Lisa stacked and coordinated color,1,Tessa had to make sure it wouldn't fall ,1,1,1,He is younger and has less developed motor skills,1,1,1,because Marcus had a sore arm that limited him ,1,Claire had to work twice as hard,,1,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire had to work twice as hard,,Yes,no,2,Yes,Female,,35,Bachelor's degree,english,no,52132
14,adult,hard,1,1,more blocks to arrange,1,more blocks to arrange,1,sally had more parts to assemble,1,more blocks to arrange,1,started from more disorder,1,she started from more disorder,1,beth had more parts to put together,1,danielle had to move them in front of her,1,kara had to move the blocks and assemble the shape,1,had to sort by color ,1,coordination of alternating colors,1,1,1,she had fewer red blocks overall,1,more skill to stack than to bin,1,sophisticated design with alternating colors,1,vertical stacking more difficult,1,1,1,John's a little kid,1,1,1,tougher to do with one hand,1,had to do twice as much,"I was looking for sophisticated design and/or evidence that someone was working with a handicap (arm in a sling, young, blocks in another area of the table)",0,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,had to do twice as much,"I was looking for sophisticated design and/or evidence that someone was working with a handicap (arm in a sling, young, blocks in another area of the table)",,no,yes,Yes,Male,,45,PhD,English,no,83364
15,adult,hard,0,1,Amanda only had to move 3 blocks slightly whereas Paige had 10 blocks she had to arrange.,1,The end figures are basically the same but Sharon's scale of construction was larger so involved more labor but was not more taxing otherwise,1,Sally had to construct the same model as Anne 3 times.,1,Essentially Sarah had to make 3 of the straight lines that Jill did once,1,The end products are the same but Sophie had to move a lot more blocks to make hers,1,It was harder in the sense that she had to put in more work by moving and arrranging more blocks,1,Beth had to arrange and move more blocks one at a time with resultant increase in chances for it to fail and fall,0,The difference is very slight but Jane had to clear her work space before she could begin construction,1,Kara's model is in a more unnatural position to work on and it would have been harder to use two hands without the effort of twisting back and forth,1,Emma had slightly more work because she had to spend a little more time separating and arranging the blocks which were initially mixed together,1,Kelly had to spend a tiny amount of time making sure she alternated colors whereas Grace could just grab any block,1,1,1,Claire had to search harder and move more blocks to get the same amount of red blocks out of the container,1,Sam just had to throw the blocks in the box without worrying about how they landed whereas Sam had to carefully place the blocks in a balanced position to ensure they did not fall.,1,Both had to separate blocks by color but then Lisa then had to take the extra step to actually use the blocks to construct the tower,1,Liz did not have to worry about keeping the blocks balanced as she placed them and could easily readjust their position at any time whereas Tessa had to get the blocks perfectly balanced each time and it would be difficult to make adjustments without risking them falling,1,1,1,John likely hasn't developed his motor skills as much as Kara,1,1,1,Marcus would have thought it was harder since he would have only one hand which would have made keeping the tower balanced harder since he could not support it with one hand while placing a new block on it.,1,Claire essentially did twice the work of either individual on the other team,"I approached each one individually, I don't know that I had an overall strategy but in general the one which involved more sorting, distance, balancing would be more difficult and then adjust judgment if someone was younger, disabled etc.",0,54,0,WARMUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire essentially did twice the work of either individual on the other team,"I approached each one individually, I don't know that I had an overall strategy but in general the one which involved more sorting, distance, balancing would be more difficult and then adjust judgment if someone was younger, disabled etc.",Yes,no,2,Yes,Male,,54,Bachelor's degree,English,,76036
16,adult,hard,1,1,It has more blocks and is a more complex design,1,It has more blocks and takes longer to make,1,She had to use more blocks and do three times the work,1,It has more blocks and is more complex,1,Sophie had to move more blocks into place,1,"She had to figure out more than Quinn, Quinn only had to add a couple blocks to complete hers.",1,Beth had to make and balance the tower with all single blocks which is more difficult than doing it with two solid long blocks.,1,Danielle had to move the blocks further than Jane,1,She had to move the blocks further away,1,She had to separate the green and yellow blocks first,1,Because she made a design with the colors in a sequence,1,1,1,Because she had to search harder to find the red blocks,1,All Tom did was put the blocks in a container,1,"All Carol did was separate the blocks by color, Lisa actually designed something",1,She had to balance the blocks so that the tower wont fall over,1,1,1,Because his brain isn't as developed yet as an adult,1,1,1,Because he only has use of one arm,1,Because she had to do it alone without anyone helping her,"Looked at the design that the person did and the complexity, plus how much/far they had to move the blocks around. That was my strategy.",0,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Because she had to do it alone without anyone helping her,"Looked at the design that the person did and the complexity, plus how much/far they had to move the blocks around. That was my strategy.",Yes,No,1.5,No,Male,,36,Associate's degree,English,No,98751
